title,from_date,count
Engineer,2002-08-01,2
Senior Staff,2002-08-01,14
Senior Engineer,2002-08-01,11
Engineer,2002-07-31,4
Senior Engineer,2002-07-31,20
Senior Staff,2002-07-31,22
Engineer,2002-07-30,3
Senior Engineer,2002-07-30,18
Senior Staff,2002-07-30,11
Senior Engineer,2002-07-29,15
Engineer,2002-07-29,3
Senior Staff,2002-07-29,13
Senior Staff,2002-07-28,12
Senior Engineer,2002-07-28,19
Engineer,2002-07-28,5
Engineer,2002-07-27,1
Senior Staff,2002-07-27,17
Senior Engineer,2002-07-27,19
Senior Staff,2002-07-26,20
Senior Engineer,2002-07-26,18
Engineer,2002-07-26,2
Engineer,2002-07-25,1
Senior Engineer,2002-07-25,24
Senior Staff,2002-07-25,17
Engineer,2002-07-24,4
Senior Staff,2002-07-24,16
Senior Engineer,2002-07-24,27
Engineer,2002-07-23,3
Senior Staff,2002-07-23,14
Senior Engineer,2002-07-23,15
Senior Staff,2002-07-22,6
Senior Engineer,2002-07-22,18
Engineer,2002-07-22,2
Engineer,2002-07-21,2
Senior Staff,2002-07-21,14
Senior Engineer,2002-07-21,17
Senior Engineer,2002-07-20,12
Engineer,2002-07-20,3
Senior Staff,2002-07-20,20
Senior Engineer,2002-07-19,18
Senior Staff,2002-07-19,17
Engineer,2002-07-19,1
Senior Staff,2002-07-18,16
Senior Engineer,2002-07-18,15
Engineer,2002-07-17,1
Senior Staff,2002-07-17,15
Senior Engineer,2002-07-17,26
Engineer,2002-07-16,1
Senior Staff,2002-07-16,15
Senior Engineer,2002-07-16,16
Senior Engineer,2002-07-15,15
Engineer,2002-07-15,1
Senior Staff,2002-07-15,14
Senior Engineer,2002-07-14,20
Senior Staff,2002-07-14,21
Engineer,2002-07-14,1
Senior Engineer,2002-07-13,18
Senior Staff,2002-07-13,18
Engineer,2002-07-12,5
Senior Engineer,2002-07-12,22
Senior Staff,2002-07-12,14
Senior Staff,2002-07-11,23
Senior Engineer,2002-07-11,25
Engineer,2002-07-10,1
Senior Staff,2002-07-10,25
Senior Engineer,2002-07-10,11
Engineer,2002-07-09,2
Senior Staff,2002-07-09,27
Senior Engineer,2002-07-09,19
Engineer,2002-07-08,2
Senior Staff,2002-07-08,15
Senior Engineer,2002-07-08,15
Engineer,2002-07-07,4
Senior Staff,2002-07-07,14
Senior Engineer,2002-07-07,20
Engineer,2002-07-06,2
Senior Staff,2002-07-06,26
Senior Engineer,2002-07-06,27
Senior Engineer,2002-07-05,14
Senior Staff,2002-07-05,19
Senior Staff,2002-07-04,23
Senior Engineer,2002-07-04,13
Engineer,2002-07-04,3
Engineer,2002-07-03,2
Senior Staff,2002-07-03,19
Senior Engineer,2002-07-03,9
Senior Staff,2002-07-02,25
Senior Engineer,2002-07-02,12
Engineer,2002-07-02,1
Senior Staff,2002-07-01,21
Engineer,2002-07-01,2
Senior Engineer,2002-07-01,12
Senior Engineer,2002-06-30,13
Senior Staff,2002-06-30,13
Engineer,2002-06-30,1
Senior Staff,2002-06-29,13
Senior Engineer,2002-06-29,20
Engineer,2002-06-29,4
Senior Staff,2002-06-28,10
Senior Engineer,2002-06-28,12
Engineer,2002-06-28,3
Senior Engineer,2002-06-27,22
Senior Staff,2002-06-27,20
Senior Staff,2002-06-26,14
Engineer,2002-06-26,2
Senior Engineer,2002-06-26,18
Senior Engineer,2002-06-25,25
Senior Staff,2002-06-25,16
Engineer,2002-06-25,3
Senior Engineer,2002-06-24,15
Senior Staff,2002-06-24,20
Engineer,2002-06-23,5
